date,Dry-Bulb Temperature,Atmospheric Pressure,Dew-Point Temperature,Relative Humidity,wind speed,wind direction,Precip,Visibility,Solar Condition
"12:20 AM GMT on January 01, 2017",7,1023,5,87,14.8,220,-9999,10,Scattered Clouds
"12:50 AM GMT on January 01, 2017",6,1022,4,87,18.5,220,-9999,10,Scattered Clouds
"1:20 AM GMT on January 01, 2017",6,1022,4,87,18.5,220,-9999,10,Scattered Clouds
"1:50 AM GMT on January 01, 2017",5,1022,3,87,20.4,220,-9999,10,Partly Cloudy
"5:20 AM GMT on January 01, 2017",5,1018,3,87,18.5,210,-9999,10,Partly Cloudy
"5:50 AM GMT on January 01, 2017",5,1018,3,87,20.4,210,-9999,10,Scattered Clouds
"6:20 AM GMT on January 01, 2017",5,1017,2,81,18.5,210,-9999,10,Partly Cloudy
"6:50 AM GMT on January 01, 2017",5,1017,3,87,16.7,210,-9999,10,Scattered Clouds
"7:20 AM GMT on January 01, 2017",6,1016,4,87,16.7,210,-9999,10,Scattered Clouds
"7:50 AM GMT on January 01, 2017",5,1016,3,87,22.2,220,-9999,9,Scattered Clouds
"8:20 AM GMT on January 01, 2017",6,1016,4,87,20.4,210,-9999,9,Partly Cloudy
"8:50 AM GMT on January 01, 2017",6,1016,4,87,16.7,200,-9999,9,Partly Cloudy
"9:20 AM GMT on January 01, 2017",7,1016,5,87,18.5,210,-9999,7,Partly Cloudy
"9:50 AM GMT on January 01, 2017",7,1016,6,93,20.4,210,-9999,7,Partly Cloudy
"10:20 AM GMT on January 01, 2017",8,1015,6,87,14.8,200,-9999,7,Scattered Clouds
"10:50 AM GMT on January 01, 2017",8,1015,6,87,13,200,-9999,7,Mostly Cloudy
"11:20 AM GMT on January 01, 2017",8,1015,6,87,11.1,200,-9999,7,Mostly Cloudy
"11:50 AM GMT on January 01, 2017",8,1015,6,87,11.1,210,-9999,7,Mostly Cloudy
"12:20 PM GMT on January 01, 2017",9,1014,7,87,14.8,200,-9999,9,Mostly Cloudy
"12:50 PM GMT on January 01, 2017",9,1014,7,87,13,210,-9999,9,Mostly Cloudy
"1:20 PM GMT on January 01, 2017",9,1014,7,87,13,220,-9999,10,Partly Cloudy
"1:50 PM GMT on January 01, 2017",9,1014,6,82,9.3,230,-9999,10,Mostly Cloudy
"2:20 PM GMT on January 01, 2017",9,1014,7,87,9.3,230,-9999,10,Partly Cloudy
"2:50 PM GMT on January 01, 2017",9,1014,7,87,11.1,220,-9999,10,Mostly Cloudy
"3:20 PM GMT on January 01, 2017",8,1014,5,81,24.1,320,-9999,10,Light Rain Showers
"3:50 PM GMT on January 01, 2017",6,1015,4,87,16.7,10,-9999,10,Mostly Cloudy
"4:20 PM GMT on January 01, 2017",6,1016,4,87,18.5,10,-9999,10,Mostly Cloudy
"4:50 PM GMT on January 01, 2017",5,1016,3,87,20.4,10,-9999,10,Light Rain
"5:20 PM GMT on January 01, 2017",5,1017,3,87,18.5,360,-9999,10,Light Rain
"5:50 PM GMT on January 01, 2017",5,1017,3,87,16.7,360,-9999,10,Light Rain
"6:20 PM GMT on January 01, 2017",5,1018,3,87,18.5,10,-9999,10,Light Rain
"6:50 PM GMT on January 01, 2017",4,1018,3,93,14.8,10,-9999,10,Light Rain
"7:20 PM GMT on January 01, 2017",5,1019,3,87,18.5,10,-9999,10,Light Rain
"7:50 PM GMT on January 01, 2017",5,1019,3,87,14.8,360,-9999,10,Scattered Clouds
"8:20 PM GMT on January 01, 2017",4,1019,3,93,18.5,10,-9999,10,Light Rain
"8:50 PM GMT on January 01, 2017",5,1020,3,87,16.7,10,-9999,10,Light Rain
"9:20 PM GMT on January 01, 2017",5,1020,3,87,14.8,360,-9999,10,Light Rain
"9:50 PM GMT on January 01, 2017",4,1021,3,93,14.8,360,-9999,10,Light Rain
"10:20 PM GMT on January 01, 2017",4,1021,2,87,13,350,-9999,10,Light Rain
"10:50 PM GMT on January 01, 2017",4,1021,2,87,13,350,-9999,10,Partly Cloudy
"11:20 PM GMT on January 01, 2017",6,1021,4,87,14.8,350,-9999,10,Partly Cloudy
"11:50 PM GMT on January 01, 2017",4,1022,2,87,14.8,350,-9999,10,Partly Cloudy
"12:50 AM GMT on January 02, 2017",5,1022,2,81,14.8,350,-9999,-9999,Clear
"1:50 AM GMT on January 02, 2017",4,1023,2,87,14.8,350,-9999,-9999,Clear
"2:50 AM GMT on January 02, 2017",4,1024,2,87,14.8,350,-9999,-9999,Clear
"3:50 AM GMT on January 02, 2017",3,1024,1,87,14.8,350,-9999,-9999,Clear
"4:50 AM GMT on January 02, 2017",3,1025,0,81,14.8,360,-9999,-9999,Clear
"5:20 AM GMT on January 02, 2017",3,1025,0,81,14.8,350,-9999,-9999,Clear
"5:50 AM GMT on January 02, 2017",2,1025,0,87,13,350,-9999,-9999,Clear
"6:20 AM GMT on January 02, 2017",2,1025,-1,81,13,350,-9999,-9999,Clear
"6:50 AM GMT on January 02, 2017",3,1026,0,81,14.8,350,-9999,-9999,Clear
"7:20 AM GMT on January 02, 2017",1,1026,-1,87,13,340,-9999,-9999,Clear
"7:50 AM GMT on January 02, 2017",1,1026,-1,87,11.1,340,-9999,-9999,Clear
"8:50 AM GMT on January 02, 2017",1,1027,-1,87,7.4,320,-9999,-9999,Clear
"9:20 AM GMT on January 02, 2017",2,1028,0,87,11.1,330,-9999,-9999,Clear
"9:50 AM GMT on January 02, 2017",2,1028,0,87,11.1,330,-9999,-9999,Clear
"10:20 AM GMT on January 02, 2017",3,1028,0,81,11.1,330,-9999,-9999,Clear
"10:50 AM GMT on January 02, 2017",4,1028,1,81,16.7,340,-9999,-9999,Clear
"1:20 PM GMT on January 02, 2017",4,1028,-1,70,13,330,-9999,-9999,Clear
"1:50 PM GMT on January 02, 2017",5,1028,1,76,13,330,-9999,-9999,Clear
"2:20 PM GMT on January 02, 2017",5,1028,0,70,14.8,320,-9999,10,Partly Cloudy
"2:50 PM GMT on January 02, 2017",5,1028,0,70,13,320,-9999,10,Partly Cloudy
"3:50 PM GMT on January 02, 2017",3,1029,0,81,14.8,330,-9999,10,Partly Cloudy
"4:20 PM GMT on January 02, 2017",3,1029,0,81,9.3,320,-9999,10,Partly Cloudy
"4:50 PM GMT on January 02, 2017",1,1029,-1,87,5.6,300,-9999,10,Partly Cloudy
"5:20 PM GMT on January 02, 2017",2,1029,0,87,3.7,0,-9999,10,Partly Cloudy
"5:50 PM GMT on January 02, 2017",1,1029,-1,87,7.4,290,-9999,10,Partly Cloudy
"6:20 PM GMT on January 02, 2017",2,1029,-1,81,7.4,280,-9999,10,Partly Cloudy
"6:50 PM GMT on January 02, 2017",1,1029,-1,87,7.4,260,-9999,10,Partly Cloudy
"7:20 PM GMT on January 02, 2017",1,1029,-2,81,9.3,270,-9999,10,Partly Cloudy
"7:50 PM GMT on January 02, 2017",0,1029,-2,87,7.4,270,-9999,10,Partly Cloudy
"8:20 PM GMT on January 02, 2017",0,1029,-2,87,5.6,280,-9999,10,Partly Cloudy
"8:50 PM GMT on January 02, 2017",-1,1029,-2,93,7.4,280,-9999,10,Partly Cloudy
"9:20 PM GMT on January 02, 2017",0,1029,-2,87,9.3,260,-9999,-9999,Clear
"9:50 PM GMT on January 02, 2017",0,1029,-2,87,9.3,280,-9999,-9999,Clear
"10:20 PM GMT on January 02, 2017",-1,1029,-3,86,9.3,290,-9999,-9999,Clear
"10:50 PM GMT on January 02, 2017",-1,1029,-3,86,9.3,270,-9999,-9999,Clear
"11:20 PM GMT on January 02, 2017",-1,1029,-3,86,7.4,280,-9999,-9999,Clear
"11:50 PM GMT on January 02, 2017",0,1029,-3,80,7.4,300,-9999,-9999,Clear
"12:50 AM GMT on January 03, 2017",-1,1029,-3,86,9.3,280,-9999,-9999,Clear
"1:50 AM GMT on January 03, 2017",0,1029,-2,87,9.3,270,-9999,-9999,Clear
"2:50 AM GMT on January 03, 2017",-1,1029,-3,86,7.4,280,-9999,-9999,Clear
"3:50 AM GMT on January 03, 2017",-1,1028,-3,86,5.6,260,-9999,-9999,Clear
"4:50 AM GMT on January 03, 2017",-1,1028,-3,86,5.6,260,-9999,-9999,Clear
"5:20 AM GMT on January 03, 2017",-1,1028,-2,93,7.4,260,-9999,-9999,Clear
"5:50 AM GMT on January 03, 2017",0,1028,-2,87,13,270,-9999,-9999,Clear
"6:20 AM GMT on January 03, 2017",1,1028,-1,87,14.8,270,-9999,-9999,Clear
"6:50 AM GMT on January 03, 2017",1,1028,-1,87,16.7,270,-9999,10,Mostly Cloudy
"7:20 AM GMT on January 03, 2017",1,1028,-1,87,13,270,-9999,10,Mostly Cloudy
"7:50 AM GMT on January 03, 2017",0,1028,-2,87,16.7,260,-9999,10,Mostly Cloudy
