date,Dry-Bulb Temperature,Atmospheric Pressure,Dew-Point Temperature,Relative Humidity,wind speed,wind direction,Precip,Visibility,Solar Condition
,C,hpa,C,%,km/h,Degrees,mm,km,
"12:00 AM +03 on January 01, 2016",22,1014,16,62,0,Degrees,mm,10,Partly Cloudy
"12:00 AM +03 on January 01, 2016",22,1015,16,69,0,0,-9999,10,Scattered Clouds
"1:00 AM +03 on January 01, 2016",21,1016,16,73,0,0,-9999,10,Scattered Clouds
"2:00 AM +03 on January 01, 2016",21,1014,16,73,0,0,-9999,10,Scattered Clouds
"3:00 AM +03 on January 01, 2016",21,1013,18,77,0,0,-9999,10,Partly Cloudy
"3:00 AM +03 on January 01, 2016",21,1014,18,83,0,0,-9999,10,Scattered Clouds
"4:00 AM +03 on January 01, 2016",21,1014,17,78,0,0,-9999,10,Scattered Clouds
"5:00 AM +03 on January 01, 2016",20,1014,17,83,0,0,-9999,10,Scattered Clouds
"6:00 AM +03 on January 01, 2016",20,1013,17,78,0,0,-9999,10,Partly Cloudy
"6:00 AM +03 on January 01, 2016",20,1014,17,83,0,0,-9999,10,Scattered Clouds
"7:00 AM +03 on January 01, 2016",20,1015,15,73,0,0,-9999,10,Scattered Clouds
"8:00 AM +03 on January 01, 2016",20,1015,15,73,0,0,-9999,10,Mostly Cloudy
"9:00 AM +03 on January 01, 2016",21,1016,14,57,3.7,0,-9999,10,Mostly Cloudy
"9:00 AM +03 on January 01, 2016",21,1016,14,64,3.7,360,-9999,10,Mostly Cloudy
"10:00 AM +03 on January 01, 2016",22,1017,14,60,3.7,30,-9999,10,Mostly Cloudy
"11:00 AM +03 on January 01, 2016",23,1017,14,57,3.7,30,-9999,10,Mostly Cloudy
"12:00 PM +03 on January 01, 2016",24,1016,16,50,3.7,280,-9999,10,Partly Cloudy
"12:00 PM +03 on January 01, 2016",24,1017,16,61,3.7,280,-9999,10,Scattered Clouds
"1:00 PM +03 on January 01, 2016",25,1016,16,57,11.1,300,-9999,10,Mostly Cloudy
"2:00 PM +03 on January 01, 2016",26,1015,16,54,3.7,300,-9999,10,Scattered Clouds
"3:00 PM +03 on January 01, 2016",27,1014,16,40,5.6,330,-9999,10,Partly Cloudy
"3:00 PM +03 on January 01, 2016",27,1015,16,51,5.6,330,-9999,10,Scattered Clouds
"4:00 PM +03 on January 01, 2016",27,1015,17,54,0,0,-9999,10,Mostly Cloudy
"5:00 PM +03 on January 01, 2016",27,1015,17,54,0,0,-9999,10,Scattered Clouds
"6:00 PM +03 on January 01, 2016",25,1015,16,48,0,0,-9999,10,Partly Cloudy
"6:00 PM +03 on January 01, 2016",25,1016,16,57,0,0,-9999,10,Scattered Clouds
"7:00 PM +03 on January 01, 2016",24,1016,16,61,0,0,-9999,10,Partly Cloudy
"8:00 PM +03 on January 01, 2016",23,1017,15,61,7.4,330,-9999,10,Partly Cloudy
"9:00 PM +03 on January 01, 2016",22,1017,15,55,7.4,330,-9999,10,Scattered Clouds
"9:00 PM +03 on January 01, 2016",22,1018,15,64,7.4,330,-9999,10,Partly Cloudy
"10:00 PM +03 on January 01, 2016",22,1018,15,64,7.4,330,-9999,10,Partly Cloudy
"11:00 PM +03 on January 01, 2016",21,1018,15,68,3.7,360,-9999,-9999,Clear
"12:00 AM +03 on January 02, 2016",21,1018,14,55,3.7,30,-9999,10,Scattered Clouds
"12:00 AM +03 on January 02, 2016",21,1018,14,64,3.7,30,-9999,-9999,Clear
"1:00 AM +03 on January 02, 2016",21,1018,14,64,3.7,360,-9999,-9999,Clear
"2:00 AM +03 on January 02, 2016",20,1018,14,68,0,0,-9999,-9999,Clear
"3:00 AM +03 on January 02, 2016",20,1017,14,63,0,0,-9999,10,Clear
"3:00 AM +03 on January 02, 2016",20,1018,14,68,0,0,-9999,-9999,Clear
"4:00 AM +03 on January 02, 2016",19,1018,13,68,0,0,-9999,-9999,Clear
"5:00 AM +03 on January 02, 2016",19,1018,13,68,0,0,-9999,-9999,Clear
"6:00 AM +03 on January 02, 2016",18,1018,14,72,5.6,330,-9999,10,Clear
"6:00 AM +03 on January 02, 2016",18,1018,14,77,5.6,330,-9999,-9999,Clear
"7:00 AM +03 on January 02, 2016",17,1018,13,77,3.7,360,-9999,10,Partly Cloudy
"8:00 AM +03 on January 02, 2016",18,1019,12,68,0,0,-9999,10,Partly Cloudy
"9:00 AM +03 on January 02, 2016",19,1019,11,50,0,0,-9999,10,Partly Cloudy
"9:00 AM +03 on January 02, 2016",19,1020,11,60,0,0,-9999,10,Scattered Clouds
"10:00 AM +03 on January 02, 2016",22,1020,10,46,3.7,20,-9999,10,Partly Cloudy
"11:00 AM +03 on January 02, 2016",23,1020,11,47,3.7,360,-9999,-9999,Clear
"12:00 PM +03 on January 02, 2016",25,1019,10,28,3.7,30,-9999,10,Clear
"12:00 PM +03 on January 02, 2016",25,1020,10,39,3.7,30,-9999,-9999,Clear
"1:00 PM +03 on January 02, 2016",26,1019,13,44,0,0,-9999,-9999,Clear
"2:00 PM +03 on January 02, 2016",26,1018,13,44,3.7,340,-9999,-9999,Clear
"3:00 PM +03 on January 02, 2016",27,1017,13,31,3.7,0,-9999,10,Clear
"3:00 PM +03 on January 02, 2016",27,1017,13,42,3.7,360,-9999,-9999,Clear
"4:00 PM +03 on January 02, 2016",27,1017,13,42,3.7,30,-9999,-9999,Clear
