date,Dry-Bulb Temperature,Atmospheric Pressure,Dew-Point Temperature,Relative Humidity,wind speed,wind direction,Precip,Visibility,Solar Condition
"12:00 AM AEDT on January 01, 2017",23,1007,20,80,11.1,140,,18,Haze
"12:00 AM AEDT on January 01, 2017",23,1007,20,83,11.1,140,-9999,10,Mostly Cloudy
"12:30 AM AEDT on January 01, 2017",22,1007,20,88,9.3,130,-9999,10,Mostly Cloudy
"1:00 AM AEDT on January 01, 2017",22,1007,20,84,9.3,130,-9999,10,Mostly Cloudy
"1:00 AM AEDT on January 01, 2017",22,1006,20,88,9.3,130,-9999,10,Mostly Cloudy
"1:30 AM AEDT on January 01, 2017",22,1006,20,88,11.1,150,-9999,10,Mostly Cloudy
"2:00 AM AEDT on January 01, 2017",22,1007,20,85,7.4,130,-9999,10,Mostly Cloudy
"2:00 AM AEDT on January 01, 2017",22,1006,20,88,7.4,130,-9999,10,Mostly Cloudy
"2:30 AM AEDT on January 01, 2017",22,1006,20,88,7.4,130,-9999,10,Mostly Cloudy
"3:00 AM AEDT on January 01, 2017",22,1006,20,83,9.3,140,-9999,20,Haze
"3:00 AM AEDT on January 01, 2017",22,1006,20,88,9.3,130,-9999,10,Mostly Cloudy
"3:30 AM AEDT on January 01, 2017",23,1005,20,83,11.1,130,-9999,10,Mostly Cloudy
"4:00 AM AEDT on January 01, 2017",22,1006,20,83,13,120,-9999,10,Mostly Cloudy
"4:00 AM AEDT on January 01, 2017",23,1005,20,83,13,120,-9999,10,Mostly Cloudy
"4:30 AM AEDT on January 01, 2017",23,1005,20,83,9.3,130,-9999,10,Mostly Cloudy
"5:00 AM AEDT on January 01, 2017",23,1006,20,79,9.3,130,-9999,10,Mostly Cloudy
"5:00 AM AEDT on January 01, 2017",23,1005,20,83,9.3,130,-9999,10,Mostly Cloudy
"5:30 AM AEDT on January 01, 2017",23,1006,20,83,9.3,140,-9999,10,Mostly Cloudy
"6:00 AM AEDT on January 01, 2017",23,1006,20,80,9.3,110,-9999,18,Haze
"6:00 AM AEDT on January 01, 2017",23,1006,20,83,9.3,110,-9999,10,Mostly Cloudy
"6:30 AM AEDT on January 01, 2017",23,1006,20,83,9.3,120,-9999,10,Mostly Cloudy
"7:00 AM AEDT on January 01, 2017",23,1007,20,77,11.1,130,-9999,10,Mostly Cloudy
"7:00 AM AEDT on January 01, 2017",23,1007,20,83,11.1,130,-9999,10,Mostly Cloudy
"7:30 AM AEDT on January 01, 2017",24,1007,20,78,11.1,110,-9999,10,Mostly Cloudy
"8:00 AM AEDT on January 01, 2017",24,1007,19,67,11.1,90,-9999,10,Mostly Cloudy
"8:00 AM AEDT on January 01, 2017",24,1007,19,73,11.1,90,-9999,10,Mostly Cloudy
"8:30 AM AEDT on January 01, 2017",25,1007,19,69,11.1,80,-9999,10,Mostly Cloudy
"9:00 AM AEDT on January 01, 2017",25,1007,19,66,9.3,120,-9999,25,Partly Cloudy
"9:00 AM AEDT on January 01, 2017",25,1007,19,69,9.3,120,-9999,10,Mostly Cloudy
"9:30 AM AEDT on January 01, 2017",24,1007,19,73,13,150,-9999,10,Mostly Cloudy
"10:00 AM AEDT on January 01, 2017",25,1007,19,65,14.8,90,-9999,10,Mostly Cloudy
"10:00 AM AEDT on January 01, 2017",25,1007,19,69,14.8,90,-9999,10,Mostly Cloudy
"10:30 AM AEDT on January 01, 2017",25,1007,19,69,14.8,90,-9999,10,Mostly Cloudy
"11:00 AM AEDT on January 01, 2017",25,1007,19,60,20.4,90,-9999,10,Mostly Cloudy
"11:00 AM AEDT on January 01, 2017",25,1006,19,69,20.4,90,-9999,10,Mostly Cloudy
"11:30 AM AEDT on January 01, 2017",26,1006,19,65,20.4,60,-9999,10,Mostly Cloudy
"12:00 PM AEDT on January 01, 2017",26,1007,19,55,14.8,70,-9999,25,Partly Cloudy
"12:00 PM AEDT on January 01, 2017",26,1006,19,65,14.8,70,-9999,10,Mostly Cloudy
"12:30 PM AEDT on January 01, 2017",26,1005,19,65,22.2,70,-9999,10,Mostly Cloudy
"1:00 PM AEDT on January 01, 2017",26,1006,19,56,20.4,90,-9999,10,Mostly Cloudy
"1:00 PM AEDT on January 01, 2017",26,1005,19,65,20.4,90,-9999,10,Mostly Cloudy
"1:30 PM AEDT on January 01, 2017",26,1005,19,65,20.4,90,-9999,10,Mostly Cloudy
"2:00 PM AEDT on January 01, 2017",26,1006,19,58,18.5,80,-9999,10,Mostly Cloudy
"2:00 PM AEDT on January 01, 2017",26,1005,19,65,18.5,80,-9999,10,Mostly Cloudy
"2:30 PM AEDT on January 01, 2017",26,1005,19,65,18.5,100,-9999,10,Mostly Cloudy
"3:00 PM AEDT on January 01, 2017",25,1006,20,64,24.1,80,-9999,16,Light Rain
"3:00 PM AEDT on January 01, 2017",25,1005,20,74,24.1,80,-9999,10,Light Rain
"3:30 PM AEDT on January 01, 2017",25,1005,20,74,16.7,50,-9999,10,Light Rain
"4:00 PM AEDT on January 01, 2017",24,1006,20,75,13,90,-9999,10,Light Rain
"4:00 PM AEDT on January 01, 2017",24,1005,20,78,13,90,-9999,10,Light Rain
"4:30 PM AEDT on January 01, 2017",24,1005,21,83,13,110,-9999,10,Light Drizzle
"5:00 PM AEDT on January 01, 2017",24,1005,22,83,13,140,-9999,10,Light Drizzle
"5:00 PM AEDT on January 01, 2017",24,1005,22,89,13,140,-9999,10,Light Rain
"5:30 PM AEDT on January 01, 2017",24,1005,20,78,11.1,130,-9999,10,Light Rain
"6:00 PM AEDT on January 01, 2017",24,1005,20,74,14.8,70,-9999,20,Light Rain
"6:00 PM AEDT on January 01, 2017",24,1004,20,78,14.8,70,-9999,10,Light Rain
"6:30 PM AEDT on January 01, 2017",24,1005,20,78,3.7,50,-9999,10,Mostly Cloudy
"7:00 PM AEDT on January 01, 2017",24,1006,20,74,9.3,30,-9999,10,Mostly Cloudy
"7:00 PM AEDT on January 01, 2017",24,1005,20,78,9.3,30,-9999,10,Light Rain
"7:30 PM AEDT on January 01, 2017",24,1005,20,78,13,30,-9999,10,Light Rain
"8:00 PM AEDT on January 01, 2017",24,1005,20,76,18.5,30,-9999,10,Light Rain
"8:00 PM AEDT on January 01, 2017",24,1005,21,83,18.5,30,-9999,10,Light Rain
"8:30 PM AEDT on January 01, 2017",24,1005,20,78,16.7,10,-9999,10,Light Rain
"9:00 PM AEDT on January 01, 2017",24,1006,20,70,11.1,30,-9999,20,Light Rain
"9:00 PM AEDT on January 01, 2017",24,1006,20,78,11.1,30,-9999,10,Light Rain
"9:30 PM AEDT on January 01, 2017",24,1007,21,83,13,340,-9999,10,Light Rain
"10:00 PM AEDT on January 01, 2017",24,1007,21,80,18.5,10,-9999,10,Light Rain
"10:00 PM AEDT on January 01, 2017",24,1006,21,83,18.5,10,-9999,10,Light Rain
"10:30 PM AEDT on January 01, 2017",24,1006,20,78,13,340,-9999,10,Light Rain
"11:00 PM AEDT on January 01, 2017",23,1007,21,81,13,340,-9999,10,Light Rain
"11:00 PM AEDT on January 01, 2017",23,1007,21,88,13,340,-9999,-9999,Clear
"11:30 PM AEDT on January 01, 2017",23,1007,21,88,13,330,-9999,-9999,Clear
"12:00 AM AEDT on January 02, 2017",24,1006,21,82,11.1,350,-9999,25,Overcast
"12:00 AM AEDT on January 02, 2017",24,1006,21,83,11.1,350,-9999,-9999,Clear
"12:30 AM AEDT on January 02, 2017",24,1006,21,83,11.1,350,-9999,-9999,Clear
"1:00 AM AEDT on January 02, 2017",23,1006,21,81,11.1,350,-9999,-9999,Clear
"1:00 AM AEDT on January 02, 2017",23,1006,21,88,11.1,350,-9999,-9999,Clear
"1:30 AM AEDT on January 02, 2017",23,1006,21,88,13,350,-9999,-9999,Clear
"2:00 AM AEDT on January 02, 2017",23,1006,20,76,14.8,340,-9999,-9999,Clear
"2:00 AM AEDT on January 02, 2017",23,1005,20,83,14.8,340,-9999,-9999,Clear
"2:30 AM AEDT on January 02, 2017",23,1005,20,83,13,340,-9999,-9999,Clear
"3:00 AM AEDT on January 02, 2017",23,1005,20,77,13,300,-9999,25,Partly Cloudy
"3:00 AM AEDT on January 02, 2017",23,1005,20,83,13,300,-9999,-9999,Clear
"3:30 AM AEDT on January 02, 2017",23,1005,20,83,9.3,280,-9999,-9999,Clear
