date,temp,dew_pt,hum,wind_spd,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,precip_rate,precip_total,cond
01/01/2017 00:53,45,24.1,44,10.4,NA,SW,10,29.88,39.7,NA,NA,NA,NA,Overcast
01/01/2017 01:53,45,24.1,44,8.1,NA,SW,10,29.9,40.6,NA,NA,NA,NA,Overcast
01/01/2017 02:53,44.1,23,43,6.9,NA,SW,10,29.91,40.1,NA,NA,NA,NA,Overcast
01/01/2017 03:53,43,23,45,6.9,NA,WSW,10,29.94,38.8,NA,NA,NA,NA,Scattered Clouds
01/01/2017 04:53,44.1,24.1,45,6.9,NA,WSW,10,29.96,40.1,NA,NA,NA,NA,Overcast
01/01/2017 05:53,43,24.1,47,6.9,NA,WSW,10,30,38.8,NA,NA,NA,NA,Clear
01/01/2017 06:53,42.1,24.1,49,6.9,NA,WSW,10,30.03,37.7,NA,NA,NA,NA,Clear
01/01/2017 07:53,41,24.1,51,4.6,NA,WSW,10,30.07,38,NA,NA,NA,NA,Scattered Clouds
01/01/2017 08:53,44.1,26.1,49,5.8,NA,WNW,10,30.12,40.8,NA,NA,NA,NA,Clear
01/01/2017 09:53,46,28,50,6.9,NA,WNW,10,30.16,42.5,NA,NA,NA,NA,Clear
01/01/2017 10:53,48,27,44,13.8,23,NW,10,30.17,NA,NA,NA,NA,NA,Clear
01/01/2017 11:53,48,25,41,12.7,23,WNW,10,30.17,NA,NA,NA,NA,NA,Clear
01/01/2017 12:53,50,24.1,36,8.1,NA,NW,10,30.17,NA,NA,NA,NA,NA,Clear
01/01/2017 13:53,48.9,21,33,6.9,NA,NW,10,30.18,NA,NA,NA,NA,NA,Clear
01/01/2017 14:53,48.9,21.9,35,4.6,NA,West,10,30.21,NA,NA,NA,NA,NA,Clear
01/01/2017 15:53,48,19.9,33,5.8,NA,WNW,10,30.25,NA,NA,NA,NA,NA,Clear
01/01/2017 16:53,46,19.9,35,3.5,NA,NNW,10,30.28,44.8,NA,NA,NA,NA,Clear
01/01/2017 17:53,41,19.9,43,0,NA,North,10,30.3,NA,NA,NA,NA,NA,Clear
01/01/2017 18:53,39,19,45,3.5,NA,North,10,30.33,36.8,NA,NA,NA,NA,Clear
01/01/2017 19:53,36,19.9,52,0,NA,North,10,30.38,NA,NA,NA,NA,NA,Clear
01/01/2017 20:53,33.1,19.9,59,8.1,NA,North,10,30.37,26.1,NA,NA,NA,NA,Clear
01/01/2017 21:53,34,19.9,56,5.8,NA,NNE,10,30.39,28.8,NA,NA,NA,NA,Clear
01/01/2017 22:53,37,21,52,8.1,NA,NE,10,30.39,31,NA,NA,NA,NA,Clear
01/01/2017 23:53,34,21.9,61,0,NA,North,10,30.4,NA,NA,NA,NA,NA,Clear
02/01/2017 00:53,32,21,64,4.6,NA,North,10,30.41,27.5,NA,NA,NA,NA,Clear
02/01/2017 01:53,33.1,21,61,5.8,NA,NNE,10,30.41,27.7,NA,NA,NA,NA,Clear
02/01/2017 02:53,34,23,64,6.9,NA,ENE,10,30.41,28,NA,NA,NA,NA,Clear
02/01/2017 03:53,36,25,64,5.8,NA,ENE,10,30.42,31.1,NA,NA,NA,NA,Clear
02/01/2017 04:53,36,24.1,62,4.6,NA,NNE,10,30.43,32.1,NA,NA,NA,NA,Overcast
02/01/2017 05:53,35.1,27,72,5.8,NA,NE,10,30.43,30.1,NA,0.01,NA,NA,Light Rain
02/01/2017 06:53,35.1,28,76,4.6,NA,NE,10,30.44,31,NA,0.01,NA,NA,Light Rain
02/01/2017 07:53,36,32,86,5.8,NA,ENE,8,30.43,31.1,NA,0.01,NA,NA,Light Rain
02/01/2017 08:53,36,32,86,6.9,NA,NE,10,30.45,30.3,NA,0,NA,NA,Overcast
02/01/2017 09:53,37,33.1,86,8.1,NA,NE,10,30.45,31,NA,0,NA,NA,Overcast
